,GR1,GR2,SA6,SA5,SA4,SA3,SA2,SA1,SI2,SI1,CL2,CL1,LL,PL,MC,DENSITY,VOID_RATIO,SOIL_GROUP,GMM_PRED,GMM_GROUP
102,0.0,0.0,0.0,0.0,0.5,13.5,54.6,5.6,10.7,5.7,2.8,6.6,0.0,0.0,20.1,2.07,0.552,SM,5,SM
103,0.0,0.0,0.0,1.7,18.9,40.3,18.9,2.9,4.9,3.4,2.6,6.4,0.0,0.0,18.5,2.09,0.517,SM,0,SM
104,0.0,0.0,0.0,1.5,13.1,36.8,26.7,3.2,5.5,3.6,2.6,7.0,0.0,0.0,19.4,2.06,0.549,SM,0,SM
105,0.0,0.0,0.0,0.0,0.9,35.4,36.8,4.6,7.5,4.3,3.0,7.5,0.0,0.0,21.3,2.04,0.595,SM,6,SM
106,0.0,0.0,0.4,7.3,21.0,34.9,17.0,2.1,6.6,2.8,2.0,5.9,0.0,0.0,17.1,2.1,0.492,SM,0,SM
107,0.0,0.8,2.1,30.7,23.3,14.1,12.6,1.9,4.6,3.1,2.4,4.4,0.0,0.0,16.9,2.11,0.483,SM,3,SM
108,0.0,0.0,0.8,0.7,17.4,36.6,23.1,2.7,6.6,3.5,3.1,5.5,0.0,0.0,18.6,2.08,0.526,SM,0,SM
109,0.0,0.0,0.4,12.6,45.2,18.6,8.1,2.2,3.2,2.9,2.3,4.5,0.0,0.0,17.3,2.11,0.483,SM,10,SM
110,0.0,0.0,0.7,3.0,8.5,27.6,38.3,3.9,7.0,2.4,1.9,6.7,0.0,0.0,19.5,2.07,0.543,SM,6,SM
111,0.0,3.3,2.8,8.0,32.7,31.4,7.7,2.0,3.6,2.0,1.9,4.6,0.0,0.0,17.5,2.1,0.492,SM,10,SM
112,0.0,0.0,0.0,0.0,0.0,0.7,2.9,3.4,14.3,18.8,10.2,49.7,45.0,19.7,18.5,2.11,0.534,CL,1,CH
113,0.0,0.0,0.0,0.0,0.0,0.2,1.5,2.7,13.1,18.8,11.1,52.6,58.5,24.0,19.9,2.09,0.575,CH,1,CH
114,0.0,0.0,0.0,1.0,0.8,1.0,2.5,2.2,13.0,21.4,13.7,44.4,53.7,19.6,19.1,2.1,0.557,CH,1,CH
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.2,18.9,13.8,59.6,72.7,31.2,20.3,2.08,0.584,CH,12,CH
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9.5,26.1,17.5,46.7,65.0,28.8,21.1,2.07,0.602,CH,12,CH
117,0.0,0.0,0.0,2.2,1.4,3.2,4.9,3.7,17.4,20.2,10.9,36.1,54.6,20.3,18.4,2.12,0.525,(CH)s,1,CH
118,0.0,0.0,1.1,2.3,2.1,4.2,5.9,2.8,13.6,16.1,9.9,42.0,54.2,22.2,19.1,2.1,0.557,(CH)s,1,CH
119,0.0,0.0,1.8,5.8,24.5,32.1,11.4,3.3,5.9,3.2,1.2,10.8,29.4,19.6,18.6,2.08,0.531,SC,13,SC
120,0.0,0.0,0.0,2.4,40.4,22.5,9.1,2.5,6.0,4.2,1.8,11.1,31.0,20.1,17.2,2.1,0.503,SC,13,SC
121,0.0,0.0,0.0,0.0,0.0,0.7,5.7,5.7,28.6,22.6,9.1,27.6,45.6,23.5,23.0,2.0,0.669,CL,1,CH
122,0.0,0.4,0.9,9.5,28.5,26.1,9.8,3.0,6.8,5.0,2.8,7.2,0.0,0.0,15.7,2.12,0.464,SM,0,SM
123,0.0,0.5,0.3,5.4,25.8,31.1,12.4,3.4,8.1,3.7,2.5,6.8,0.0,0.0,16.2,2.11,0.467,SM,0,SM
